Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Tribal Boundaries","Flaming Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741602/tribal-boundaries,3.7,-1,"Sport, TR",5.10a/b,1,60,42.07673,-113.7137
"Bloody Fingers","Super Hits - Bloody Fingers > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741026/bloody-fingers,3.7,-1,Trad,5.10a,1,100,42.08728,-113.72925
"Wheat Thin","Elephant Rock - East > Elephant Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740996/wheat-thin,3.6,-1,Trad,5.7,1,120,42.06739,-113.70894
Skyline,"Morning Glory Spire > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740963/skyline,3.7,-1,Trad,5.8,1,100,42.08282,-113.72147
"Lost Arrow","Lost Arrow Spire > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740972/lost-arrow,3.6,-1,Trad,"5.7 R",2,170,42.08568,-113.71267
"Rye Crisp","Elephant Rock - East > Elephant Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740981/rye-crisp,3.6,-1,Trad,5.8,1,120,42.06739,-113.70894
"Thin Slice","Parking Lot Rock - Northeast > Parking Lot Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741581/thin-slice,3.6,-1,Trad,5.10a,1,100,42.08386,-113.72246
Batwings,"Parking Lot Rock - West > Parking Lot Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740951/batwings,3.5,-1,Trad,5.8+,1,180,42.08342,-113.72294
"Animal Cracker","Animal Cracker Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741521/animal-cracker,3.5,-1,Trad,5.10a,2,200,42.08716,-113.72271
"Too Much Fun","Bumblie Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105742073/too-much-fun,3.5,-1,Sport,5.8,1,150,42.07848,-113.7135
"Double Cracks","King on the Throne - West > King on the Throne > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105838058/double-cracks,3.4,-1,Trad,5.10b,1,70,42.08476,-113.72663
"Theater of Shadows","Steinfell's Dome > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741557/theater-of-shadows,3.1,-1,Sport,5.6,4,500,42.09646,-113.68672
"I Can't Believe It","Slabbage Patch > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105864016/i-cant-believe-it,3.4,-1,Sport,5.10a,1,75,42.07858,-113.71532
"Columbian Crack","Elephant Rock - East > Elephant Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741563/columbian-crack,3.1,-1,Trad,5.7,1,150,42.06739,-113.70894
"Scream Cheese","Anteater - West > Anteater Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741593/scream-cheese,3.1,-1,Sport,5.9,1,70,42.08229,-113.7218
"Private Idaho","Bath Rock - West > Bath Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740984/private-idaho,3.1,-1,Trad,5.9,1,90,42.07578,-113.7227
"Mystery Achievement","Super Hits - Bloody Fingers > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/107682572/mystery-achievement,3.1,-1,Sport,5.7,1,110,42.08728,-113.72925
"Strawberry Fields","Elephant Rock - North > Elephant Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/115409340/strawberry-fields,3.1,-1,Sport,5.9,1,90,42.06716,-113.7094
"Adolescent Homosapien","Decadent Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741617/adolescent-homosapien,3.0,-1,Trad,5.7,1,110,42.08612,-113.72944
"Funky Bolt","Parking Lot Rock - East > Parking Lot Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740957/funky-bolt,3.0,-1,Trad,"5.9 R",1,160,42.08342,-113.72222
"Short Circuit","Transformer Corridor > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105862525/short-circuit,3.1,-1,"Trad, Sport",5.10a,1,75,42.078,-113.71315
Cowboy,"Bath Rock - East > Bath Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105788842/cowboy,3.0,-1,Trad,5.5,1,200,42.07583,-113.72191
"Carol's Crack","Decadent Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741512/carols-crack,3.0,-1,Trad,5.8,1,100,42.08612,-113.72944
"Intruding Dike","Bloody Fingers Corridor > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741011/intruding-dike,2.9,-1,Trad,5.7,1,110,42.08751,-113.7293
"Fall Line","Morning Glory Spire > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741035/fall-line,3.0,-1,Sport,5.10b,1,90,42.08282,-113.72147
Lego,"Building Blocks - West > Building Blocks > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105980641/lego,3.0,-1,Sport,"5.10a PG13",1,95,42.08494,-113.69766
"Cruel Shoes","Stripe Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105742130/cruel-shoes,2.9,-1,Sport,5.7,3,,42.08973,-113.70937
Sinocranium,"Steinfell's Dome > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740942/sinocranium,2.8,-1,Sport,5.8,6,650,42.09646,-113.68672
"Return of the Bumblie","Bumblie Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/112025172/return-of-the-bumblie,2.9,-1,Sport,5.10a/b,1,80,42.07848,-113.7135
"Twist and Crawl","Super Hits - Bloody Fingers > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741101/twist-and-crawl,2.9,-1,Trad,"5.8 R",1,110,42.08728,-113.72925
"Delay of Game","Parking Lot Rock - West > Parking Lot Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740945/delay-of-game,2.8,-1,Sport,5.8,1,160,42.08342,-113.72294
"Conceptual Reality","Gallstone, The > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105847435/conceptual-reality,2.8,-1,Trad,5.9-,1,85,42.06578,-113.70841
"Lost Pioneers","Upper Breadloaves - East > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105962059/lost-pioneers,2.8,-1,Trad,"5.10a PG13",1,100,42.08784,-113.72878
Solstice,"Parking Lot Rock - West > Parking Lot Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/110650353/solstice,2.8,-1,Sport,5.10a,1,95,42.08342,-113.72294
"New York Is Not The City","Bumblie Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105742067/new-york-is-not-the-city,2.8,-1,Sport,5.10a,1,80,42.07848,-113.7135
"Fred Rassmussen","Upper Breadloaves - East > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105820338/fred-rassmussen,2.8,-1,Trad,5.8,1,70,42.08784,-113.72878
"White Flake","Lower Breadloaves - Provo Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106551027/white-flake,2.8,-1,Trad,5.8,1,90,42.08624,-113.72903
"Deez Guys","Slabbage Patch > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105864025/deez-guys,2.8,-1,Sport,5.10a,1,80,42.07858,-113.71532
Rollercoaster,"Bath Rock - West > Bath Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741848/rollercoaster,2.7,-1,"Sport, TR",5.8,1,80,42.07578,-113.7227
"Tow Away Zone","Parking Lot Rock - East > Parking Lot Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741062/tow-away-zone,2.7,-1,Trad,5.10a/b,1,80,42.08342,-113.72222
"Swiss Cheese","Anteater - West > Anteater Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741047/swiss-cheese,2.7,-1,Trad,"5.7 R",1,70,42.08229,-113.7218
"Expect No Mercy","Window Rock - East > Window Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741605/expect-no-mercy,2.7,-1,Trad,5.10b,1,50,42.08603,-113.72268
"Norma's Book","Parking Lot Rock - West > Parking Lot Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740948/normas-book,2.7,-1,Trad,5.6,1,180,42.08342,-113.72294
"Snakes and Ladders","King on the Throne - East > King on the Throne > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105828990/snakes-and-ladders,2.7,-1,Trad,5.9-,1,50,42.08476,-113.72663
"Coffee and Cornflakes","Bath Rock - West > Bath Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741869/coffee-and-cornflakes,2.6,-1,Sport,5.10a,1,80,42.07578,-113.7227
Z-Crack,"King on the Throne - East > King on the Throne > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741518/z-crack,2.6,-1,Trad,5.9+,1,50,42.08476,-113.72663
"Pure Pleasure","Window Rock - East > Window Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741599/pure-pleasure,2.5,-1,Trad,5.6,1,70,42.08603,-113.72268
"The Pygmies Got Stoned","Elephant Rock - East > Elephant Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741854/the-pygmies-got-stoned,2.6,-1,Sport,5.10a,1,90,42.06739,-113.70894
"Mystery Bolter","Transformer Corridor > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105742115/mystery-bolter,2.6,-1,Sport,5.9+,1,150,42.078,-113.71315
Raindance,"Flaming Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741569/raindance,2.5,-1,Sport,5.7,2,,42.07673,-113.7137
"Just Say No","Elephant Rock - East > Elephant Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740978/just-say-no,2.5,-1,Sport,"5.9 PG13",1,100,42.06739,-113.70894
"New Toy","Super Hits - Bloody Fingers > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741098/new-toy,2.5,-1,Sport,"5.10a X",1,90,42.08728,-113.72925
"Love Handles","Upper Breadloaves - West > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/107179875/love-handles,2.5,-1,Sport,5.8,1,95,42.08797,-113.72939
"Built for Comfort","Upper Breadloaves - West > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/107179849/built-for-comfort,2.5,-1,Sport,5.9,1,80,42.08797,-113.72939
"The Good Stuff","Tahitian Rocks > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106250864/the-good-stuff,3.0,-1,Sport,5.10a,1,70,42.09151,-113.70618
"Eagle Crack","Eagle Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106548476/eagle-crack,3.6,-1,Trad,5.10a,1,110,42.04009,-113.71336
Catwalk,"Upper Breadloaves - East > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105795544/catwalk,2.9,-1,Trad,"5.8 PG13",1,160,42.08784,-113.72878
"Just Say Go","Elephant Rock - North > Elephant Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105918420/just-say-go,2.4,-1,"Trad, Sport",5.10a,1,90,42.06716,-113.7094
"Bikini Candy","Tahitian Rocks > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741008/bikini-candy,2.7,-1,Sport,5.8,1,90,42.09151,-113.70618
"Finer Niner","Lower Breadloaves - Provo Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106254301/finer-niner,2.3,-1,Sport,5.9,1,80,42.08624,-113.72903
"Good Times","Window Rock - East > Window Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741596/good-times,2.4,-1,Trad,5.6,1,95,42.08603,-113.72268
"Muffin Top","Upper Breadloaves - West > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/107179863/muffin-top,2.4,-1,Sport,5.8,1,70,42.08797,-113.72939
[Redacted],"Decadent Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105847449/redacted,2.3,-1,Sport,"5.10a PG13",1,50,42.08612,-113.72944
"Drunken Cowboy","Window Rock - East > Window Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741560/drunken-cowboy,2.3,-1,Trad,5.7,1,70,42.08603,-113.72268
"Hough's Crack","Bloody Fingers Corridor > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741002/houghs-crack,2.2,-1,Trad,5.7,1,80,42.08751,-113.7293
"Triple Roofs","Lower Breadloaves - Provo Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106088797/triple-roofs,2.6,-1,Trad,5.8,1,100,42.08624,-113.72903
"Tide Country","Upper Broadloaves - North > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105956715/tide-country,3.0,-1,Trad,5.10a,1,100,42.08838,-113.7291
"Hesitation Blues","Rabbit Rock - Northeast > Rabbit Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105968954/hesitation-blues,2.8,-1,Trad,5.6,1,125,42.08358,-113.72075
Cowgirl,"Bath Rock - East > Bath Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/108207784/cowgirl,3.0,-1,Trad,5.5,1,200,42.07583,-113.72191
"Skin the Cat","Site 18 > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105867039/skin-the-cat,2.4,-1,Sport,5.7,1,60,42.0927,-113.70359
"Groovy Crack","King on the Throne - West > King on the Throne > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105955616/groovy-crack,2.5,-1,Trad,5.10b,1,50,42.08476,-113.72663
"Stretch Marks","Upper Breadloaves - West > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106183768/stretch-marks,2.8,-1,Trad,5.9,1,70,42.08797,-113.72939
Twilight,"Decadent Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105854664/twilight,2.1,-1,Trad,5.6,1,70,42.08612,-113.72944
Reservations,"Flaming Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105799344/reservations,2.6,-1,Trad,"5.10a/b PG13",1,80,42.07673,-113.7137
"Easy Corner","Lower Breadloaves - Provo Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741530/easy-corner,2.6,-1,Trad,5.6,1,130,42.08624,-113.72903
"Beauty and the Beast","Parking Lot Rock - East > Parking Lot Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741578/beauty-and-the-beast,2.7,-1,Trad,5.10a,1,90,42.08342,-113.72222
"First Lead","Practice Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741572/first-lead,1.9,-1,Trad,5.6,1,30,42.07125,-113.70772
"Crunk Cowgirl","Window Rock - East > Window Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/110328914/crunk-cowgirl,2.1,-1,Trad,5.7,1,80,42.08603,-113.72268
"Acid Rain","Building Blocks - West > Building Blocks > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105980650/acid-rain,2.7,-1,"Trad, Sport","5.10a R",1,90,42.08494,-113.69766
Looker,"Site 18 > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105867036/looker,2.3,-1,Sport,5.8,1,60,42.0927,-113.70359
"Tail Feather","Flaming Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/112144883/tail-feather,2.3,-1,Sport,5.10a,1,100,42.07673,-113.7137
"Tree Start","Bath Rock - East > Bath Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106920506/tree-start,2.0,-1,Trad,5.5,2,200,42.07583,-113.72191
Velveeta,"Anteater - West > Anteater Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105918435/velveeta,2.6,-1,TR,5.8,1,90,42.08229,-113.7218
Bomber,"Site 18 > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105867043/bomber,2.4,-1,Sport,5.9,1,70,42.0927,-113.70359
"Another Greg Lowe Route (aka Preteen Sex)","Decadent Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740999/another-greg-lowe-route-aka-preteen-sex,2.3,-1,Trad,5.8,1,120,42.08612,-113.72944
"Tennish Anyone?","Lower Breadloaves - Provo Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105849995/tennish-anyone,2.5,-1,"Trad, Sport",5.10a,1,95,42.08624,-113.72903
"Corridor Crack","The Boxtop > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106482744/corridor-crack,3.0,-1,Trad,5.8,1,45,42.0809,-113.70743
Chimney,"Morning Glory Spire > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105845886/chimney,2.7,-1,Trad,5.8,1,110,42.08282,-113.72147
"New School","Elephant Rock - North > Elephant Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/115458794/new-school,2.8,-1,Sport,5.10a,1,80,42.06716,-113.7094
Sabbatical,"Lower Breadloaves - Provo Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105955459/sabbatical,2.6,-1,"Trad, Sport",5.10a,1,100,42.08624,-113.72903
"Double Vision","Super Hits - Bloody Fingers > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741095/double-vision,2.7,-1,"Trad, Sport","5.10a R",1,80,42.08728,-113.72925
"Boxtop Traverse","The Boxtop > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106482766/boxtop-traverse,3.2,-1,Trad,"5.9 PG13",3,150,42.0809,-113.70743
Roadkill,"Rabbit Rock - Northeast > Rabbit Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106791268/roadkill,3.1,-1,"Trad, Sport",5.10b,1,120,42.08358,-113.72075
"Wind Dance","Upper Breadloaves - East > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/115450967/wind-dance,2.7,-1,Sport,5.7,1,100,42.08784,-113.72878
"Hired Gun","The Drilling Fields > Drilling Fields > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/107183590/hired-gun,2.0,-1,Sport,5.10a,1,90,42.08183,-113.71814
Sinsemilla,"Elephant Rock - East > Elephant Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741857/sinsemilla,2.7,-1,Trad,"5.8 X",1,100,42.06739,-113.70894
"Divine Decadence","Decadent Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/108139139/divine-decadence,2.5,-1,Trad,5.8+,1,110,42.08612,-113.72944
"Humble's Tumble","Lower Breadloaves - Provo Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105967547/humbles-tumble,2.9,-1,Trad,"5.9- PG13",1,100,42.08624,-113.72903
"I've Got Gall","Gallstone, The > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/107164872/ive-got-gall,1.9,-1,Sport,5.8,1,80,42.06578,-113.70841
